AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
11.04,10.49,16.6,7.99,8.89,9.64,8.97,8.81,9.23,7.64,8.15
10.35,9.85,14.12,8.02,8.94,9.04,8.45,8.94,8.48,7.69,8.16
9.47,9.88,14.91,8.09,8.74,8.75,7.18,8.95,8.15,7.81,8.19
9.46,9.77,14.8,7.99,8.82,9.26,7.71,9.05,8.14,7.88,8.17
9.56,9.53,15.02,7.87,8.94,9.09,8.02,8.94,8.22,7.98,8.12
9.61,9.67,15.26,8.04,8.81,9.58,7.93,8.82,8.15,7.99,8.36
9.62,9.73,15.38,8.03,8.72,9.41,8.08,8.87,8.25,7.87,8.34
10.17,9.62,13.02,7.92,8.65,9.21,8.01,8.65,7.91,7.9,8.31
11.16,9.75,15.38,7.95,8.91,9.42,8.28,8.67,8.76,7.84,8.46
11.31,10.62,17.28,9.12,9.04,10.1,9.12,8.68,9.34,7.77,8.36
11.56,10.47,17.25,8.49,9.11,10.5,9.53,8.8,9.6,7.82,8.28
11.22,10.39,17.57,8.56,9.06,10.15,9.69,8.83,9.33,7.85,8.12
11.07,10.39,17.83,8.16,8.88,9.82,9.47,8.74,8.91,7.95,8.2
10.86,9.99,16.01,8.14,8.96,9.25,8.87,8.8,8.2,7.94,8.44
9.97,9.78,15.82,8.14,8.9,9.02,8.28,8.93,7.99,8.12,8.11
9.9,9.63,15.2,8.3,9.03,9.06,8.43,8.92,7.89,8.15,8.25
9.95,9.53,15.49,8.35,8.85,9.04,8.37,8.9,7.87,8.15,8.05
10.11,9.66,15.46,8.36,8.67,9.05,8.41,8.84,8.16,8.2,8.2
10.0,9.62,15.42,8.18,8.87,9.29,8.39,8.93,7.83,8.19,8.25
10.57,9.83,14.34,8.08,8.56,8.91,8.21,8.84,7.79,8.1,8.15
11.33,9.87,15.99,8.27,8.67,8.88,8.4,8.71,8.46,7.71,8.27
11.47,10.44,17.72,8.45,8.8,9.84,9.21,8.74,8.6,7.72,8.27
11.62,10.44,18.3,8.27,9.27,10.12,9.28,8.75,8.78,7.88,8.16
11.52,10.36,18.55,8.4,9.07,10.01,9.55,8.86,8.83,8.0,8.02
11.25,10.28,17.41,7.73,8.59,9.5,9.21,8.73,8.4,7.94,8.15
10.86,10.21,16.11,7.89,8.87,9.2,8.24,8.8,8.09,7.93,7.76
9.96,9.95,16.4,7.81,8.8,8.94,7.7,9.06,7.66,8.02,7.93
9.94,9.78,16.11,8.05,9.04,8.98,7.87,8.96,7.58,8.03,7.91
9.98,9.83,15.5,8.02,8.85,8.87,7.97,8.76,7.78,8.01,7.88
10.08,10.15,15.99,7.98,9.28,9.15,8.43,9.13,8.03,8.31,8.24
9.9,10.06,15.48,7.87,9.53,9.0,7.91,9.07,8.04,8.3,8.04
10.33,9.92,14.9,7.75,8.99,8.45,8.13,8.76,7.75,8.0,7.86
10.85,9.93,15.98,7.8,8.61,8.57,8.17,8.66,8.18,7.82,8.11
11.03,10.77,18.36,8.19,8.69,9.38,9.22,8.6,8.66,7.84,8.18
11.34,10.74,18.41,8.05,9.07,9.53,9.46,8.71,8.88,7.85,8.25
11.08,10.71,18.46,7.98,9.03,9.47,9.96,8.7,8.87,8.01,8.27
10.68,10.7,18.84,7.65,8.81,9.0,9.73,8.68,8.62,7.9,8.1
10.41,9.88,16.25,7.68,9.04,8.85,8.48,8.79,8.16,8.11,8.32
9.62,9.69,17.31,7.67,9.07,8.67,8.16,8.91,7.76,8.08,8.14
9.67,9.42,16.05,7.83,9.13,8.61,8.25,8.82,7.7,8.17,7.91
9.42,9.55,16.44,7.87,9.15,8.57,8.11,8.71,7.7,8.17,7.87
9.45,9.68,16.87,7.68,8.99,8.89,7.99,8.78,7.86,8.14,7.98
9.49,9.79,16.22,7.68,8.97,8.52,7.71,8.81,7.81,8.27,8.11
10.13,9.86,16.08,7.58,8.69,8.63,7.86,8.72,7.93,8.08,8.28
11.05,9.96,16.73,7.65,8.86,8.81,8.09,8.88,8.39,8.13,8.51
11.08,10.96,18.64,8.34,8.93,9.8,8.72,8.74,8.78,8.22,8.52
11.36,10.79,19.12,8.51,9.2,10.41,8.83,8.88,8.89,8.33,8.49
11.14,10.81,19.95,8.3,9.51,10.25,9.01,8.77,9.05,8.25,8.55
10.82,10.84,19.77,7.86,9.4,10.05,9.44,8.81,8.66,8.53,8.55
10.17,10.25,18.82,7.92,9.46,9.31,7.84,8.83,8.02,8.55,8.4
9.44,10.31,18.38,7.93,9.27,9.2,7.61,8.97,7.92,8.67,8.2
9.82,10.1,17.26,8.11,9.19,8.91,7.62,8.96,7.77,8.68,8.06
9.67,10.05,17.92,8.13,9.14,9.06,7.92,9.06,8.0,8.61,8.19
10.02,10.46,18.71,7.96,9.26,9.39,8.11,9.11,7.99,8.81,9.11
9.87,10.21,18.48,8.02,9.38,9.49,7.89,9.05,8.03,8.79,8.32
10.28,10.28,19.15,7.79,9.13,9.24,8.07,9.0,8.03,8.67,8.02
11.17,10.41,18.71,7.83,9.27,9.33,7.81,8.95,7.98,8.56,8.37
11.25,11.38,20.26,8.38,9.52,10.3,9.01,9.08,8.96,8.64,8.63
11.48,11.61,20.93,8.31,10.08,10.71,9.41,9.16,9.07,8.88,8.22
11.22,11.64,21.35,8.57,9.96,10.74,9.3,9.13,8.85,8.75,7.99
11.18,11.5,21.57,8.13,9.91,10.51,9.27,9.1,8.89,8.82,8.28
10.57,11.05,19.99,8.2,9.72,9.59,8.49,9.24,8.33,8.97,8.19
10.14,11.01,18.96,8.18,9.5,9.69,8.49,9.24,7.94,8.92,7.88
