CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
7.7,0.0,5.91,2.98,4.69,0,3.07,0.0,0.0,0.0,0
4.26,0.0,4.3,0.0,4.4,0,2.93,0.0,0.0,0.0,0
3.92,8.58,5.59,3.01,3.88,0,2.82,0.0,0.0,0.0,0
2.9,0.0,2.49,2.85,2.96,0,2.47,0.0,0.0,0.0,0
2.86,0.0,2.86,2.97,3.27,0,2.67,0.0,0.0,2.75,0
3.19,0.0,2.94,0.0,3.14,0,2.66,0.0,0.0,2.95,0
3.48,0.0,3.25,0.0,3.55,0,2.89,0.0,0.0,3.23,0
3.39,0.0,3.1,0.0,3.82,0,2.6,0.0,0.0,3.09,0
3.97,0.0,3.5,3.33,4.01,0,2.7,0.0,0.0,3.55,0
5.37,10.37,5.8,4.45,4.73,0,3.78,0.0,0.0,6.17,0
7.41,0.0,9.16,0.0,5.06,0,3.97,0.0,0.0,0.0,0
7.14,0.0,9.13,3.59,4.1,0,4.58,0.0,0.0,0.0,0
5.34,0.0,7.56,3.12,3.83,0,4.0,0.0,0.0,7.56,0
4.1,0.0,5.18,0.0,4.12,0,3.72,0.0,0.0,4.41,0
2.8,0.0,4.61,0.0,3.64,0,2.6,0.0,0.0,0.0,0
2.53,0.0,2.56,2.39,2.89,0,2.61,0.0,0.0,2.61,0
2.46,0.0,3.03,0.0,2.73,0,2.48,0.0,0.0,2.27,0
3.36,0.0,3.14,2.34,2.86,0,2.58,0.0,0.0,2.54,0
2.5,0.0,2.77,2.14,2.63,0,2.5,0.0,0.0,2.39,0
2.34,0.0,2.91,2.24,2.87,0,2.47,0.0,0.0,2.25,0
2.17,0.0,2.37,0.0,3.34,0,2.42,0.0,0.0,2.16,0
3.64,0.0,4.42,0.0,3.96,0,2.75,0.0,0.0,4.03,0
4.93,0.0,6.03,2.51,4.35,0,2.67,0.0,0.0,0.0,0
3.98,0.0,6.0,2.22,3.71,0,2.61,0.0,0.0,3.11,0
2.91,0.0,5.05,0.0,3.65,0,2.35,0.0,0.0,0.0,0
