IL Price,IN Price,IA Price,KS Price,MI Price,MN Price,ND Price,OH Price,SD Price,WI Price
79.58,72.2,0.0,0.0,0.0,70.61,71.3,0.0,0,72.0
77.74,72.33,0.0,0.0,0.0,71.65,0.0,0.0,0,0.0
79.93,70.27,0.0,0.0,0.0,76.17,0.0,0.0,0,0.0
75.85,69.79,69.54,66.42,0.0,0.0,0.0,0.0,0,0.0
73.18,64.72,63.23,0.0,0.0,64.29,68.7,0.0,0,67.93
75.82,66.97,0.0,0.0,0.0,69.82,0.0,0.0,0,66.34
81.37,74.65,74.51,0.0,0.0,73.91,0.0,0.0,0,72.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
93.4,84.85,82.6,81.81,0.0,0.0,0.0,0.0,0,84.58
0.0,0.0,84.2,85.64,0.0,0.0,89.73,0.0,0,0.0
0.0,0.0,82.57,82.53,0.0,87.85,0.0,0.0,0,0.0
98.96,93.67,90.07,93.01,0.0,0.0,88.5,0.0,0,109.11
89.77,0.0,0.0,87.48,0.0,89.74,0.0,0.0,0,0.0
89.1,84.7,96.22,0.0,0.0,87.33,0.0,0.0,0,85.92
0.0,92.88,89.62,92.01,0.0,97.24,0.0,0.0,0,88.03
96.66,98.26,0.0,102.64,0.0,103.98,100.3,0.0,0,94.66
97.11,96.97,94.09,94.96,0.0,99.3,96.43,96.66,0,110.18
0.0,0.0,97.07,95.61,0.0,102.51,0.0,0.0,0,0.0
0.0,95.45,0.0,96.52,0.0,0.0,97.18,0.0,0,97.76
105.98,97.38,0.0,0.0,0.0,98.04,0.0,0.0,0,101.95
109.61,103.47,104.36,109.21,0.0,97.46,0.0,0.0,0,107.42
101.27,95.6,95.82,97.23,0.0,0.0,88.98,0.0,0,99.21
79.11,77.47,0.0,81.78,0.0,83.9,75.54,0.0,0,79.61
114.44,78.48,78.58,81.93,0.0,60.38,78.5,0.0,0,0.0
113.0,87.56,82.91,85.32,0.0,99.87,0.0,0.0,0,0.0
0.0,88.79,88.73,0.0,0.0,88.72,0.0,91.4,0,86.63
99.6,0.0,91.38,93.62,0.0,92.98,0.0,0.0,0,83.21
0.0,91.46,0.0,92.72,0.0,92.71,0.0,0.0,0,88.7
88.18,80.94,79.85,80.43,0.0,82.5,81.91,0.0,0,72.71
0.0,82.85,0.0,85.82,0.0,107.67,0.0,89.72,0,0.0
0.0,81.39,80.79,81.29,0.0,80.14,0.0,0.0,0,87.1
90.7,89.62,79.99,85.73,0.0,87.81,0.0,0.0,0,72.36
0.0,88.02,83.25,86.3,0.0,86.49,83.89,0.0,0,0.0
99.17,85.02,85.57,87.74,0.0,80.8,0.0,0.0,0,0.0
0.0,89.18,84.28,84.75,0.0,83.8,0.0,91.58,0,0.0
94.95,77.57,79.51,83.74,0.0,78.99,72.84,0.0,0,78.16
0.0,70.22,0.0,77.58,70.72,72.69,0.0,0.0,0,0.0
0.0,55.31,56.29,59.93,0.0,0.0,55.52,0.0,0,41.21
49.82,0.0,0.0,45.02,0.0,42.71,47.88,0.0,0,0.0
0.0,39.74,44.39,46.24,0.0,0.0,0.0,52.71,0,40.84
0.0,53.63,49.84,53.7,0.0,0.0,0.0,74.36,0,0.0
59.23,59.08,54.54,59.0,0.0,0.0,0.0,56.22,0,52.91
0.0,58.55,56.66,60.8,0.0,56.11,57.52,0.0,0,0.0
0.0,56.67,0.0,56.22,0.0,0.0,0.0,61.41,0,49.36
0.0,56.02,0.0,55.91,0.0,55.13,0.0,0.0,0,52.34
0.0,59.3,54.81,62.59,0.0,0.0,0.0,0.0,0,0.0
0.0,68.59,68.49,68.42,0.0,0.0,0.0,63.47,0,0.0
0.0,69.92,0.0,0.0,0.0,0.0,71.56,0.0,0,0.0
0.0,81.28,0.0,83.36,0.0,0.0,0.0,0.0,0,0.0
90.77,0.0,84.24,0.0,0.0,0.0,0.0,86.0,0,0.0
0.0,85.24,0.0,85.81,0.0,0.0,88.2,0.0,0,0.0
0.0,90.21,78.36,0.0,0.0,0.0,0.0,87.81,0,0.0
97.47,94.47,93.38,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,93.06,0.0,95.96,0.0,0.0,0.0,90.16,0,0.0
0.0,92.59,0.0,94.44,0.0,0.0,0.0,0.0,0,0.0
0.0,95.33,100.53,0.0,0.0,0.0,0.0,98.4,0,0.0
0.0,112.46,110.01,110.17,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,102.5,105.76,0.0,0.0,0.0,0.0,0,0.0
